096A,096A,10,10,0.8913378119468689
097A,097A,11,10,0.504045307636261
098A,098A,5,5,0.8466129899024963
099A,099A,5,5,0.8113976120948792
100A,100A,5,5,0.8315635323524475
101A,101A,6,6,0.9684092998504639
102A,102A,5,5,0.91139155626297
103A,103A,7,7,0.9261698126792908
104A,104A,11,11,0.8444649577140808
105A,105A,5,5,0.9723386764526367
106A,106A,9,9,0.8631234765052795
107A,107A,5,5,0.9406871199607849
108A,108A,9,9,0.921431839466095
109A,109A,9,9,0.9269130825996399
110A,110A,5,5,0.9427468180656433
111A,111A,8,8,0.8171520233154297
112A,112A,3,3,0.9694933891296387
113A,113A,7,7,0.9609321355819702
114A,114A,5,5,0.9332684278488159
115A,115A,6,6,0.9390432834625244
116A,116A,7,7,0.8800809979438782
117A,117A,5,5,0.9424229264259338
118A,118A,10,10,0.8403453230857849
119A,119A,10,10,0.8316426277160645
120A,120A,5,15,0.6483674645423889
121A,121A,5,5,0.7955634593963623
122A,122A,7,7,0.8859193325042725
123A,123A,7,7,0.9386350512504578
124A,124A,7,7,0.7910845875740051
125A,125A,5,5,0.9609208106994629
126A,126A,5,5,0.9065301418304443
127A,127A,5,5,0.8993499875068665
128A,128A,5,5,0.8803592920303345
129A,129A,10,10,0.9324869513511658
130A,130A,5,5,0.9668917059898376
131A,131A,5,5,0.968790590763092
133A,133A,5,5,0.9412667751312256
134A,134A,5,11,0.8160766959190369
135A,135A,5,5,0.89528888463974
136A,136A,5,5,0.8856046795845032
137A,137A,5,5,0.9590283632278442
138A,138A,7,7,0.9571463465690613
139A,139A,5,5,0.9403541088104248
140A,140A,7,7,0.9601759910583496
141A,141A,5,5,0.8997777700424194
142A,142A,10,10,0.8947450518608093
143A,143A,5,5,0.9084070324897766
144A,144A,6,6,0.962993860244751
145A,145A,5,5,0.8739299178123474
146A,146A,10,10,0.8400560617446899
147A,147A,10,10,0.7768915295600891
148A,148A,8,8,0.8416798114776611
149A,149A,5,5,0.9462050795555115
150A,150A,9,9,0.8686056733131409
151A,151A,7,7,0.9314782023429871
152A,152A,7,7,0.9583752751350403
153A,153A,7,7,0.8434588313102722
154A,154A,5,5,0.8940433263778687
155A,155A,3,3,0.9550011157989502
156A,156A,6,6,0.9325435161590576
157A,157A,5,5,0.9262685179710388
158A,158A,5,5,0.9347631931304932
160A,160A,5,5,0.8949011564254761
161A,161A,5,5,0.8329620957374573
163A,163A,5,5,0.8595879673957825
164A,164A,10,5,0.8373048901557922
165A,165A,5,5,0.9817376732826233
166A,166A,5,5,0.924700140953064
167A,167A,11,11,0.5791429281234741
168A,168A,8,8,0.8045083284378052
169A,169A,5,10,0.8685627579689026
170A,170A,5,5,0.8613990545272827
171A,171A,8,8,0.23542280495166779
